N,p,q,P,Q,BIC,AIC,RMSE (VC),RMSE (ET),BIC,AIC,RMSE (VC),RMSE (ET)
1,0,0,0,0,9112.3,9108.1,4274.8,6184.9,8989.2,8985.1,4246.2,2504.9
2,1,0,0,0,8703.2,8694.9,3958.2,4356.2,8589.9,8581.7,4134.8,2416.8
3,2,0,0,0,8683.8,8671.4,3987.8,4504.2,8570.4,8558.0,4120.0,2345.5
4,3,0,0,0,8663.3,8646.8,3944.8,4663.6,8549.7,8533.2,4156.0,2407.0
5,0,1,0,0,8781.3,8773.1,4095.3,5706.8,8664.7,8656.5,4158.6,2342.2
6,1,1,0,0,8668.6,8656.2,3924.0,4616.6,8555.1,8542.8,4087.5,2325.0
7,2,1,0,0,8673.9,8657.4,3944.1,4577.3,8560.6,8544.2,4092.9,2332.2
8,3,1,0,0,8669.4,8648.7,3956.0,4672.1,8555.7,8535.1,4144.7,2415.4
9,0,2,0,0,8700.3,8687.9,4016.3,5428.1,8584.3,8571.9,4120.4,2306.9
10,1,2,0,0,8672.1,8655.6,3973.2,4543.0,8559.0,8542.5,4142.1,2362.5
11,2,2,0,0,8676.7,8656.0,3962.5,4594.1,8563.4,8542.8,4098.0,2380.3
12,3,2,0,0,8653.5,8628.7,3868.5,4551.8,8539.8,8515.1,4059.8,2469.2
13,0,3,0,0,8690.1,8673.6,3980.0,5093.5,8575.8,8559.3,4104.6,2295.5
14,1,3,0,0,8674.3,8653.6,3991.9,4668.4,8560.6,8540.0,4157.9,2389.0
15,2,3,0,0,8679.8,8655.0,3952.2,4685.9,8566.0,8541.2,4091.5,2392.6
16,3,3,0,0,8662.4,8633.5,3889.4,4455.1,8549.0,8520.2,4055.4,2471.3
17,0,0,1,0,9030.1,9021.9,3850.2,6577.5,8904.1,8895.8,3793.8,2323.3
18,1,0,1,0,8585.1,8572.7,3531.5,4309.4,8470.6,8458.3,3642.1,2174.8
19,2,0,1,0,8567.1,8550.6,3548.0,4349.3,8453.0,8436.5,3628.3,2109.7
20,3,0,1,0,8557.3,8536.6,3538.1,4439.2,8443.0,8422.4,3646.0,2157.3
21,0,1,1,0,8691.4,8679.0,3659.9,5900.6,8573.5,8561.2,3681.0,2159.4
22,1,1,1,0,8557.3,8540.7,3490.8,4415.1,8443.2,8426.8,3597.2,2104.9
23,2,1,1,0,8562.5,8541.8,3537.7,4387.1,8448.7,8428.0,3626.9,2112.7
24,3,1,1,0,8563.1,8538.3,3560.9,4457.1,8448.6,8423.9,3650.4,2175.1
25,0,2,1,0,8604.8,8588.2,3585.6,5515.3,8487.6,8471.2,3635.8,2106.9
26,1,2,1,0,8561.5,8540.9,3537.5,4376.6,8447.7,8427.1,3639.2,2131.1
27,2,2,1,0,8566.2,8541.4,3535.0,4423.8,8452.1,8427.4,3625.1,2157.4
28,3,2,1,0,8568.9,8539.9,3545.4,4427.8,8454.3,8425.5,3613.1,2170.6
29,0,3,1,0,8582.7,8562.0,3532.0,5003.0,8467.9,8447.3,3608.7,2078.7
30,1,3,1,0,8565.1,8540.3,3586.9,4462.3,8450.8,8426.0,3672.6,2165.9
31,2,3,1,0,8571.3,8542.3,3598.0,4461.9,8456.9,8428.0,3685.1,2165.9
32,3,3,1,0,8572.9,8539.8,3551.4,4383.4,8452.7,8419.7,3639.0,2375.0
33,0,0,0,1,8931.4,8923.1,3421.7,6586.9,8802.7,8794.4,3339.3,1965.8
34,1,0,0,1,8469.9,8457.5,3079.5,3907.7,8351.8,8339.4,3165.2,1966.8
35,2,0,0,1,8449.8,8433.2,3097.0,3786.4,8331.3,8314.8,3166.4,1969.1
36,3,0,0,1,8436.1,8415.4,3074.8,3672.7,8317.7,8297.1,3174.6,2017.7
37,0,1,0,1,8586.6,8574.2,3250.1,5647.2,8466.9,8454.6,3242.7,1872.3
38,1,1,0,1,8437.8,8421.3,3061.0,3727.1,8319.7,8303.2,3149.7,1980.0
39,2,1,0,1,8443.3,8422.6,3085.2,3711.2,8325.4,8304.8,3154.9,1980.7
40,3,1,0,1,8441.7,8416.9,3049.0,3665.9,8323.1,8298.4,3138.4,2027.4
41,0,2,0,1,8488.3,8471.7,3181.2,4938.8,8366.6,8350.1,3204.5,1909.1
42,1,2,0,1,8442.2,8421.5,3109.1,3692.4,8324.7,8304.1,3196.4,1984.8
43,2,2,0,1,8444.8,8420.0,3114.8,3639.1,8327.0,8302.2,3184.7,2048.8
44,3,2,0,1,8447.6,8418.7,3087.1,3679.1,8328.8,8300.0,3175.3,2012.7
45,0,3,0,1,8465.6,8445.0,3116.0,4404.5,8346.9,8326.3,3165.2,1933.8
46,1,3,0,1,8443.2,8418.4,3102.4,3677.7,8324.3,8299.6,3187.3,2063.3
47,2,3,0,1,8449.3,8420.3,3116.0,3667.9,8330.4,8301.5,3204.2,2069.0
48,3,3,0,1,8457.0,8424.0,3094.3,3704.5,8334.8,8301.8,3180.6,2006.5
49,0,0,1,1,8930.6,8918.2,3432.3,6273.0,8803.9,8791.5,3366.0,1914.7
50,1,0,1,1,8475.8,8459.2,3092.1,3844.5,8357.7,8341.2,3153.2,1967.7
51,2,0,1,1,8455.7,8435.0,3100.6,3733.2,8337.2,8316.6,3153.8,1967.6
52,3,0,1,1,8441.3,8416.5,3081.4,3574.9,8322.8,8298.1,3163.2,2050.8
53,0,1,1,1,8587.5,8570.9,3245.4,5351.4,8468.9,8452.4,3243.8,1829.7
54,1,1,1,1,8443.5,8422.8,3061.5,3648.1,8325.3,8304.7,3132.3,1986.5
55,2,1,1,1,8448.8,8424.0,3103.9,3629.4,8331.0,8306.3,3153.2,1988.6
56,3,1,1,1,8447.0,8418.1,3059.3,3573.1,8328.4,8299.5,3135.1,2062.0
57,0,2,1,1,8491.8,8471.2,3167.4,4751.1,8370.6,8349.9,3192.8,1896.2
58,1,2,1,1,8447.7,8422.9,3109.0,3605.8,8330.2,8305.5,3181.2,1997.8
59,2,2,1,1,8454.9,8426.0,3107.2,3648.6,8337.6,8308.7,3169.1,1986.2
60,3,2,1,1,8452.8,8419.8,3081.5,3580.7,8334.0,8301.0,3157.5,2045.2
61,0,3,1,1,8470.9,8446.1,3109.5,4292.9,8352.2,8327.5,3153.4,1926.2
62,1,3,1,1,8448.8,8419.8,3103.1,3602.7,8329.8,8301.0,3172.3,2092.7
63,2,3,1,1,8454.8,8421.8,3096.1,3600.8,8335.9,8303.0,3176.3,2094.3
64,3,3,1,1,8458.4,8421.2,3117.4,3599.6,8339.9,8302.8,3180.9,2007.3
